Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[genomic measurement]	Material Type	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Factor Value[genomic measurement]
Sample 5	ERS4268126	SAMEA6503680	Escherichia coli str. K-12 substr. MG1655	  	DNA	P-MTAB-93260	MEMO group Ghent University	P-MTAB-93261	MEMO group Ghent University	P-MTAB-93262	MEMO group Ghent University	Sample 5	SINGLE	PCR	SYNTHETIC	first strand	OTHER	P-MTAB-93263	NXTGNT	Sample 5	sequencing assay	ERX3854262	MSQ-05_S5_L001_R1_001.fastq.gz	MSQ-05_S5_L001_R1_001.fastq.gz	ERR3841700	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR384/000/ERR3841700/ERR3841700.fastq.gz	    
Sample 50	ERS4268127	SAMEA6503681	Escherichia coli str. K-12 substr. MG1655	genetic variation	DNA	P-MTAB-93260	MEMO group Ghent University	P-MTAB-93261	MEMO group Ghent University	P-MTAB-93262	MEMO group Ghent University	Sample 50	SINGLE	PCR	SYNTHETIC	first strand	OTHER	P-MTAB-93263	NXTGNT	Sample 50	sequencing assay	ERX3854263	MSQ-50_S50_L001_R1_001.fastq.gz	MSQ-50_S50_L001_R1_001.fastq.gz	ERR3841701	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR384/001/ERR3841701/ERR3841701.fastq.gz	genetic variation
Sample 51	ERS4268128	SAMEA6503682	Escherichia coli str. K-12 substr. MG1655	genetic variation	DNA	P-MTAB-93260	MEMO group Ghent University	P-MTAB-93261	MEMO group Ghent University	P-MTAB-93262	MEMO group Ghent University	Sample 51	SINGLE	PCR	SYNTHETIC	first strand	OTHER	P-MTAB-93263	NXTGNT	Sample 51	sequencing assay	ERX3854264	MSQ-51_S51_L001_R1_001.fastq.gz	MSQ-51_S51_L001_R1_001.fastq.gz	ERR3841702	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR384/002/ERR3841702/ERR3841702.fastq.gz	genetic variation
Sample 52	ERS4268129	SAMEA6503683	Escherichia coli str. K-12 substr. MG1655	genetic variation	DNA	P-MTAB-93260	MEMO group Ghent University	P-MTAB-93261	MEMO group Ghent University	P-MTAB-93262	MEMO group Ghent University	Sample 52	SINGLE	PCR	SYNTHETIC	first strand	OTHER	P-MTAB-93263	NXTGNT	Sample 52	sequencing assay	ERX3854265	MSQ-52_S52_L001_R1_001.fastq.gz	MSQ-52_S52_L001_R1_001.fastq.gz	ERR3841703	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR384/003/ERR3841703/ERR3841703.fastq.gz	genetic variation
Sample 53	ERS4268130	SAMEA6503684	Escherichia coli str. K-12 substr. MG1655	genetic variation	DNA	P-MTAB-93260	MEMO group Ghent University	P-MTAB-93261	MEMO group Ghent University	P-MTAB-93262	MEMO group Ghent University	Sample 53	SINGLE	PCR	SYNTHETIC	first strand	OTHER	P-MTAB-93263	NXTGNT	Sample 53	sequencing assay	ERX3854266	MSQ-53_S53_L001_R1_001.fastq.gz	MSQ-53_S53_L001_R1_001.fastq.gz	ERR3841704	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR384/004/ERR3841704/ERR3841704.fastq.gz	genetic variation
Sample 54	ERS4268131	SAMEA6503685	Escherichia coli str. K-12 substr. MG1655	genetic variation	DNA	P-MTAB-93260	MEMO group Ghent University	P-MTAB-93261	MEMO group Ghent University	P-MTAB-93262	MEMO group Ghent University	Sample 54	SINGLE	PCR	SYNTHETIC	first strand	OTHER	P-MTAB-93263	NXTGNT	Sample 54	sequencing assay	ERX3854267	MSQ-54_S54_L001_R1_001.fastq.gz	MSQ-54_S54_L001_R1_001.fastq.gz	ERR3841705	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR384/005/ERR3841705/ERR3841705.fastq.gz	genetic variation
Sample 55	ERS4268132	SAMEA6503686	Escherichia coli str. K-12 substr. MG1655	genetic variation	DNA	P-MTAB-93260	MEMO group Ghent University	P-MTAB-93261	MEMO group Ghent University	P-MTAB-93262	MEMO group Ghent University	Sample 55	SINGLE	PCR	SYNTHETIC	first strand	OTHER	P-MTAB-93263	NXTGNT	Sample 55	sequencing assay	ERX3854268	MSQ-55_S55_L001_R1_001.fastq.gz	MSQ-55_S55_L001_R1_001.fastq.gz	ERR3841706	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR384/006/ERR3841706/ERR3841706.fastq.gz	genetic variation
Sample 56	ERS4268133	SAMEA6503687	Escherichia coli str. K-12 substr. MG1655	genetic variation	DNA	P-MTAB-93260	MEMO group Ghent University	P-MTAB-93261	MEMO group Ghent University	P-MTAB-93262	MEMO group Ghent University	Sample 56	SINGLE	PCR	SYNTHETIC	first strand	OTHER	P-MTAB-93263	NXTGNT	Sample 56	sequencing assay	ERX3854269	MSQ-56_S56_L001_R1_001.fastq.gz	MSQ-56_S56_L001_R1_001.fastq.gz	ERR3841707	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR384/007/ERR3841707/ERR3841707.fastq.gz	genetic variation
Sample 57	ERS4268134	SAMEA6503688	Escherichia coli str. K-12 substr. MG1655	genetic variation	DNA	P-MTAB-93260	MEMO group Ghent University	P-MTAB-93261	MEMO group Ghent University	P-MTAB-93262	MEMO group Ghent University	Sample 57	SINGLE	PCR	SYNTHETIC	first strand	OTHER	P-MTAB-93263	NXTGNT	Sample 57	sequencing assay	ERX3854270	MSQ-57_S57_L001_R1_001.fastq.gz	MSQ-57_S57_L001_R1_001.fastq.gz	ERR3841708	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR384/008/ERR3841708/ERR3841708.fastq.gz	genetic variation
Sample 58	ERS4268135	SAMEA6503689	Escherichia coli str. K-12 substr. MG1655	genetic variation	DNA	P-MTAB-93260	MEMO group Ghent University	P-MTAB-93261	MEMO group Ghent University	P-MTAB-93262	MEMO group Ghent University	Sample 58	SINGLE	PCR	SYNTHETIC	first strand	OTHER	P-MTAB-93263	NXTGNT	Sample 58	sequencing assay	ERX3854271	MSQ-58_S58_L001_R1_001.fastq.gz	MSQ-58_S58_L001_R1_001.fastq.gz	ERR3841709	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR384/009/ERR3841709/ERR3841709.fastq.gz	genetic variation
Sample 59	ERS4268136	SAMEA6503690	Escherichia coli str. K-12 substr. MG1655	genetic variation	DNA	P-MTAB-93260	MEMO group Ghent University	P-MTAB-93261	MEMO group Ghent University	P-MTAB-93262	MEMO group Ghent University	Sample 59	SINGLE	PCR	SYNTHETIC	first strand	OTHER	P-MTAB-93263	NXTGNT	Sample 59	sequencing assay	ERX3854272	MSQ-59_S59_L001_R1_001.fastq.gz	MSQ-59_S59_L001_R1_001.fastq.gz	ERR3841710	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR384/000/ERR3841710/ERR3841710.fastq.gz	genetic variation
Sample 6	ERS4268137	SAMEA6503691	Escherichia coli str. K-12 substr. MG1655	  	DNA	P-MTAB-93260	MEMO group Ghent University	P-MTAB-93261	MEMO group Ghent University	P-MTAB-93262	MEMO group Ghent University	Sample 6	SINGLE	PCR	SYNTHETIC	first strand	OTHER	P-MTAB-93263	NXTGNT	Sample 6	sequencing assay	ERX3854273	MSQ-06_S6_L001_R1_001.fastq.gz	MSQ-06_S6_L001_R1_001.fastq.gz	ERR3841711	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR384/001/ERR3841711/ERR3841711.fastq.gz	    
Sample 60	ERS4268138	SAMEA6503692	Escherichia coli str. K-12 substr. MG1655	genetic variation	DNA	P-MTAB-93260	MEMO group Ghent University	P-MTAB-93261	MEMO group Ghent University	P-MTAB-93262	MEMO group Ghent University	Sample 60	SINGLE	PCR	SYNTHETIC	first strand	OTHER	P-MTAB-93263	NXTGNT	Sample 60	sequencing assay	ERX3854274	MSQ-60_S60_L001_R1_001.fastq.gz	MSQ-60_S60_L001_R1_001.fastq.gz	ERR3841712	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR384/002/ERR3841712/ERR3841712.fastq.gz	genetic variation
Sample 61	ERS4268139	SAMEA6503693	Escherichia coli str. K-12 substr. MG1655	genetic variation	DNA	P-MTAB-93260	MEMO group Ghent University	P-MTAB-93261	MEMO group Ghent University	P-MTAB-93262	MEMO group Ghent University	Sample 61	SINGLE	PCR	SYNTHETIC	first strand	OTHER	P-MTAB-93263	NXTGNT	Sample 61	sequencing assay	ERX3854275	MSQ-61_S61_L001_R1_001.fastq.gz	MSQ-61_S61_L001_R1_001.fastq.gz	ERR3841713	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR384/003/ERR3841713/ERR3841713.fastq.gz	genetic variation
Sample 62	ERS4268140	SAMEA6503694	Escherichia coli str. K-12 substr. MG1655	genetic variation	DNA	P-MTAB-93260	MEMO group Ghent University	P-MTAB-93261	MEMO group Ghent University	P-MTAB-93262	MEMO group Ghent University	Sample 62	SINGLE	PCR	SYNTHETIC	first strand	OTHER	P-MTAB-93263	NXTGNT	Sample 62	sequencing assay	ERX3854276	MSQ-62_S62_L001_R1_001.fastq.gz	MSQ-62_S62_L001_R1_001.fastq.gz	ERR3841714	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR384/004/ERR3841714/ERR3841714.fastq.gz	genetic variation
Sample 63	ERS4268141	SAMEA6503695	Escherichia coli str. K-12 substr. MG1655	genetic variation	DNA	P-MTAB-93260	MEMO group Ghent University	P-MTAB-93261	MEMO group Ghent University	P-MTAB-93262	MEMO group Ghent University	Sample 63	SINGLE	PCR	SYNTHETIC	first strand	OTHER	P-MTAB-93263	NXTGNT	Sample 63	sequencing assay	ERX3854277	MSQ-63_S63_L001_R1_001.fastq.gz	MSQ-63_S63_L001_R1_001.fastq.gz	ERR3841715	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR384/005/ERR3841715/ERR3841715.fastq.gz	genetic variation
Sample 64	ERS4268142	SAMEA6503696	Escherichia coli str. K-12 substr. MG1655	genetic variation	DNA	P-MTAB-93260	MEMO group Ghent University	P-MTAB-93261	MEMO group Ghent University	P-MTAB-93262	MEMO group Ghent University	Sample 64	SINGLE	PCR	SYNTHETIC	first strand	OTHER	P-MTAB-93263	NXTGNT	Sample 64	sequencing assay	ERX3854278	MSQ-64_S64_L001_R1_001.fastq.gz	MSQ-64_S64_L001_R1_001.fastq.gz	ERR3841716	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR384/006/ERR3841716/ERR3841716.fastq.gz	genetic variation
Sample 65	ERS4268143	SAMEA6503697	Escherichia coli str. K-12 substr. MG1655	genetic variation	DNA	P-MTAB-93260	MEMO group Ghent University	P-MTAB-93261	MEMO group Ghent University	P-MTAB-93262	MEMO group Ghent University	Sample 65	SINGLE	PCR	SYNTHETIC	first strand	OTHER	P-MTAB-93263	NXTGNT	Sample 65	sequencing assay	ERX3854279	MSQ-65_S65_L001_R1_001.fastq.gz	MSQ-65_S65_L001_R1_001.fastq.gz	ERR3841717	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR384/007/ERR3841717/ERR3841717.fastq.gz	genetic variation
Sample 66	ERS4268144	SAMEA6503698	Escherichia coli str. K-12 substr. MG1655	genetic variation	DNA	P-MTAB-93260	MEMO group Ghent University	P-MTAB-93261	MEMO group Ghent University	P-MTAB-93262	MEMO group Ghent University	Sample 66	SINGLE	PCR	SYNTHETIC	first strand	OTHER	P-MTAB-93263	NXTGNT	Sample 66	sequencing assay	ERX3854280	MSQ-66_S66_L001_R1_001.fastq.gz	MSQ-66_S66_L001_R1_001.fastq.gz	ERR3841718	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR384/008/ERR3841718/ERR3841718.fastq.gz	genetic variation
Sample 7	ERS4268145	SAMEA6503699	Escherichia coli str. K-12 substr. MG1655	  	DNA	P-MTAB-93260	MEMO group Ghent University	P-MTAB-93261	MEMO group Ghent University	P-MTAB-93262	MEMO group Ghent University	Sample 7	SINGLE	PCR	SYNTHETIC	first strand	OTHER	P-MTAB-93263	NXTGNT	Sample 7	sequencing assay	ERX3854281	MSQ-07_S7_L001_R1_001.fastq.gz	MSQ-07_S7_L001_R1_001.fastq.gz	ERR3841719	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR384/009/ERR3841719/ERR3841719.fastq.gz	    
Sample 8	ERS4268146	SAMEA6503700	Escherichia coli str. K-12 substr. MG1655	  	DNA	P-MTAB-93260	MEMO group Ghent University	P-MTAB-93261	MEMO group Ghent University	P-MTAB-93262	MEMO group Ghent University	Sample 8	SINGLE	PCR	SYNTHETIC	first strand	OTHER	P-MTAB-93263	NXTGNT	Sample 8	sequencing assay	ERX3854282	MSQ-08_S8_L001_R1_001.fastq.gz	MSQ-08_S8_L001_R1_001.fastq.gz	ERR3841720	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR384/000/ERR3841720/ERR3841720.fastq.gz	    
Sample 9	ERS4268147	SAMEA6503701	Escherichia coli str. K-12 substr. MG1655	  	DNA	P-MTAB-93260	MEMO group Ghent University	P-MTAB-93261	MEMO group Ghent University	P-MTAB-93262	MEMO group Ghent University	Sample 9	SINGLE	PCR	SYNTHETIC	first strand	OTHER	P-MTAB-93263	NXTGNT	Sample 9	sequencing assay	ERX3854283	MSQ-09_S9_L001_R1_001.fastq.gz	MSQ-09_S9_L001_R1_001.fastq.gz	ERR3841721	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR384/001/ERR3841721/ERR3841721.fastq.gz	    
